sentence1Text,sentence2Text
"Three or four robbers burst into the store on ritzy Avenue Montaigne near the Champs-Elysees late Thursday afternoon and stole watches , rings and necklaces .","A savvy band of jewel thieves , armed with guns and some posing as women , have struck in the heart of the city 's golden triangle of luxury shops , stealing more than e85 million worth of diamonds , rings and watches from a posh Harry Winston boutique . (B)"
Eight crews fought the blaze which broke out in the early hours of Sunday morning .,Crews from Devon and Somerset Fire and Rescue have tackled a blaze at a supermarket in a Somerset town . (B)
Ott ’ s Thoughts : Creighton Returns to MVC Semis With Win Over Drake,Doug McDermott scored 23 points to become Creighton's all - time scoring leader and the top - seeded Bluejays defeated Drake 65 - 53 on Friday in the quarterfinals of the Missouri Valley Conference tournament . (B)
"Police intervened after more than 100 people joined together for a candlelit vigil in the East Flatbush neighborhood in Brooklyn , New York , where 16 - year - old Kimani Gray was shot multiple times by police on Saturday .",Brooklyn neighborhood on police lockdown following protest
Brooklyn neighborhood on police lockdown following protest,Two plainclothes NYPD officers shot and killed a 16 - year - old Brooklyn resident after police say he pointed a gun at officers on Saturday
Chiefs lose 20 - 13 to Colts despite Charles ’ 226 yards rushing,"On a day when the Kansas City Chiefs rushed for the 3rd - most yards in franchise history and the defense played well for 55 minutes of the game , the Chiefs lost to the Indianapolis Colts , 20 - 13 , and kept their grip on the #1 pick in the 2013 NFL Draft ."
"On Friday , 36 - year - old Duncan Rait died after slipping and falling about 200ft from a ridge near the Tasman Glacier .",The first of the deaths this weekend was that of a New Zealand climber who fell on Friday morning .
The man is thought to have fallen much earlier in the day .,Second man dies in Mt Cook National Park
"AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be paid in cash .","Advanced Micro Devices announced Wednesday it is buying low - power server vendor SeaMicro , a surprise move that puts AMD in the systems business and disrupts Intel by acquiring one of its close partners ."
The Bush administration is reducing protections for endangered animals and plants .,"Just six weeks before President-elect Barack Obama takes office , the Bush administration issued revised endangered species regulations Thursday to reduce the input of federal scientists and to block the law from being used to fight global warming"
"A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms .","TDCJ officials could answer few questions about how convicted rapist Arcade Joseph Comeaux Jr . , 49 , escaped Monday from a prison van in Baytown after pulling a gun and handcuffing two transport officers , stealing their three guns and walking away ."
Pierre Thomas is headed to injured reserve,Coach Sean Payton announced Wednesday that Pierre Thomas was placed on IR .
`` Tara Reid has checked herself into Promises Treatment Center .,Tara Reid is seeking help at rehabilitation facility in California .
