sentence1Text,sentence2Text
Brooklyn neighborhood on police lockdown following protest,Two plainclothes NYPD officers shot and killed a 16 - year - old Brooklyn resident after police say he pointed a gun at officers on Saturday
Chiefs lose 20 - 13 to Colts despite Charles ’ 226 yards rushing,"On a day when the Kansas City Chiefs rushed for the 3rd - most yards in franchise history and the defense played well for 55 minutes of the game , the Chiefs lost to the Indianapolis Colts , 20 - 13 , and kept their grip on the #1 pick in the 2013 NFL Draft ."
"On Friday , 36 - year - old Duncan Rait died after slipping and falling about 200ft from a ridge near the Tasman Glacier .",The first of the deaths this weekend was that of a New Zealand climber who fell on Friday morning .
The man is thought to have fallen much earlier in the day .,Second man dies in Mt Cook National Park
"AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be paid in cash .","Advanced Micro Devices announced Wednesday it is buying low - power server vendor SeaMicro , a surprise move that puts AMD in the systems business and disrupts Intel by acquiring one of its close partners ."
The Bush administration is reducing protections for endangered animals and plants .,"Just six weeks before President-elect Barack Obama takes office , the Bush administration issued revised endangered species regulations Thursday to reduce the input of federal scientists and to block the law from being used to fight global warming"
"A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms .","TDCJ officials could answer few questions about how convicted rapist Arcade Joseph Comeaux Jr . , 49 , escaped Monday from a prison van in Baytown after pulling a gun and handcuffing two transport officers , stealing their three guns and walking away ."
Pierre Thomas is headed to injured reserve,Coach Sean Payton announced Wednesday that Pierre Thomas was placed on IR .
`` Tara Reid has checked herself into Promises Treatment Center .,Tara Reid is seeking help at rehabilitation facility in California .
An Atlanta judge sentenced Brian Nichols to life in prison Saturday morning .,"A judge on Saturday sentenced the man who killed four people during a brazen courthouse escape to multiple life sentences with no chance of parole , and to hundreds more years on more than 50 charges ."
"The 33-year-old hard partying actress finally decided to put an end to her drinking days and get help for her addictions , although her publicist refused to disclose the real reason why Reid checked into rehab .","After telling People in October that she did n't `` need to do any of that anymore , '' `` American Pie '' actress and former travel reporter Tara Reid checked into Promises Treatment Center on Friday for an unspecified problem ."
"The 55 - year - old Scottish actor will replace Matt Smith , who announced in June that he was leaving the sci - fi show later this year .","Doctor Who has finally selected its 12th doctor : Peter Capaldi is officially set to replace exiting star Matt Smith as the TARDIS leader , producer Steven Moffat announced on the live BBC special Doctor Who Live : The Next Doctor Sunday ."
"Gov. Sarah Palin 's home church was badly damaged by arson , leading Ms. Palin to apologize if the fire was connected to `undeserved negative attention ' the church received during her campaign as the Republican vice-presidential nominee .",Sarah Palin actually apologized after the evangelical church she attends was nearly destroyed by arsonists -- all because she still harbors guilt over her failed VP run .
"A magnitude - 6 . 1 earthquake struck Indonesia's Aceh province on Tuesday at 07 : 37 a . m . UTC ( 3 : 37 a . m . EDT ) , killing at least one and leaving two others missing , the Associated Press reported .","Officials say at least 24 people were killed and more than 200 injured by the quake , which struck the western tip of Sumatra island on Tuesday ."
"Three or four robbers burst into the store on ritzy Avenue Montaigne near the Champs-Elysees late Thursday afternoon and stole watches , rings and necklaces .","ARMED robbers in drag carried out one of the biggest jewel heists in history , snatching p74million of diamond rings , necklaces and luxury watches from a boutique in Paris ."
"Internet service in Egypt , the UAE , India and other counties in the region was interrupted today when submarine cables in the Mediterranean Sea failed .","Internet and phone communications between Europe , the Middle East , and Asia have been seriously disrupted after submarine cables were severed ."
"Robbers crash 4x4 into store , grabbing jewelry and watches , before setting car ablaze","After scooping up jewelry and watches estimated to be worth 2 million euros ( $2 . 6 million ) the thieves reversed their car out of the store and set fire to it before making off in another vehicle , Le Monde reported ."
"Prosecutor David Rossi began opening statements , talking about what allegedly led Jermayne Timmons to the West Hill neighborhood on May 29 and what led him to allegedly fire the bullet that struck Kathina Thomas seconds after it was fired from more than a block away .","Emotional testimony and at times lies are what jurors heard Tuesday in the trial of Jermayne Timmons , the teen accused of shooting and killing 10-year-old Kathina Thomas last May in Albany ."
The three bank workers a man and two women died after demonstrators set their bank on fire along the main demonstration route in central Athens .,"Three people , one of them a pregnant woman , were killed when Greeks protesting against government austerity measures threw petrol bombs at a bank in Athens on Wednesday ."
"When Matt Smith stepped into Doctor Who 's title role as the 11th Doctor this weekend , he went from British character actor to potential entertainment legend .","Smith , 26 , who played a young political researcher in the show , will become the biggest star of all after winning the role of the 11th Doctor ."
Championship swimmer - turned - legendary Hollywood actress Esther Williams has died .,"Esther Williams , swimming star , dies at 91"
Jeffs is charged with two counts of sexual assault for raping two under - aged girls and fathering a child with one of the girls .,They presented a DNA report that showed that Jeffs had fathered a child with the 15 year old .
Rumors have been floating for weeks now and we knew the 8900 would be coming sometime in early '09 and tonight T-Mobile has made it official .,"T-Mobile USA , Inc. and Research In Motion today announced that T-Mobile will offer the BlackBerry Curve 8900 to customers in February ."
"PHILADELPHIA 76ERS Fired Jim O'Brien , coach . Named Maurice Cheeks coach .",Up the coast . . . the Philly Sixers canned Jim O'Brien [ who had been under fire all season ] and quickly hired Mo Cheeks .
Philadelphia 76ers management had enough of the NBA team lurking near the bottom of the Eastern Conference standings and fired head coach Maurice Cheeks on Saturday .,"But the 76ers , while underachieving at 9-14 when Cheeks was fired Saturday morning , were not an embarassment when they went on the court , not a disjointed bunch that clearly was no longer listening to or playing for its coach ."
"The teenager was shot and killed by police in Athens eight days ago , triggering violent protests which have spread across the country .","The December 6 killing of a 15-year-old teenager by police unleashed a wave of unrest by thousands of students and anarchists across the country , feeding on growing anger over political scandals and the impact of a global recession on Greece 's economy ."
A FIRE has badly damaged the Waitrose supermarket in Wellington's High Street .,The fire has destroyed a large section of the store and fire crews and investigators are still on the scene .
"Vincent ""The Chin"" Gigante , the New York mob boss whose crazy act earned him the nickname ""The Oddfather , "" died in prison Monday .","Vincent Gigante , who died yesterday in federal prison at 77 , was the Genovese crime family boss who for three decades feigned lunacy to evade prosecution for crimes ranging from loan sharking to murder to bribing the entire police force of Old Tappan , N . J ."
"When Matt Smith stepped into Doctor Who 's title role as the 11th Doctor this weekend , he went from British character actor to potential entertainment legend .",26-year-old Matt Smith has been cast as the next incarnation of the Doctor .
"The 55 - year older leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints was charged with sexual assault of a child after taking a 12 - year old girl and a 15 - year girl as ""spiritual wives . ""","Warren Jeffs , leader of the polygamist FLDS religious sect , was sentenced to life in prison in Texas , convicted of sexually assaulting two girls , aged 15 and 12 , that he claimed as his 'brides . '"
T - Mobile continues to add to its growing line - up of 4G LTE devices by partnering with BlackBerry to bring customers the BlackBerry Q10 .,T - Mobile Confirms QWERTY - Based BlackBerry Q10 Availability
"Tara Reid has checked into Promises Treatment Center , a prominent rehab clinic in Los Angeles .",The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab .
"The Indianapolis Colts clinched a playoff spot and the five seed in the AFC playoffs with a 20 - 13 win over the Kansas City Chiefs on another Andrew Luck game - winning drive , his seventh of the season .","Luck throws for 205 yards , 4th - quarter TD as Colts beat Chiefs 20 - 13 to clinch playoff spot"
Polygamy arrests made in Canada,"Two leaders of polygamous groups with ties to Utah have been arrested in Canada , charged with practicing polygamy ."
Microsoft released an emergency software fix for Internet Explorer on Tuesday after hackers exploited a security flaw in the popular Web browser to attack an unknown number of users .,"That happened last week as scheduled , but today the company announced it has rushed out an additional patch designed to fix an exploit that has been found in Internet Explorer , and is being used in attacks on IE8 and IE9 ."
"On Saturday , the 26-year-old was handed the keys to the Tardis when he was unveiled as the 11th Doctor Who , replacing David Tennant , who steps down later this year .","A relative unknown will take over the title role of Doctor Who in the British science fiction television show , making him the 11th time lord in 45 years to travel across the universe in the Tardis time-ship ."
"The Saints placed running back Pierre Thomas on IR Wednesday , the second time in as many days the team has placed one of its primary running backs on the list .",Saints RB Pierre Thomas placed on injured reserve
Prosecutors showed the tragic footage at the trial of the two youths charged with murdering Horton .,Prosecutors have released new video in the trial of two men accused of killing a Brownsville mother of 12 in Oct . 2011 .
"The teenager was shot and killed by police in Athens eight days ago , triggering violent protests which have spread across the country .","The fatal shooting of Alexis Grigoropoulos , 15 , on Saturday sparked five days of riots and demonstrations across Greece after witnesses claimed that the police officer deliberately took aim at the teenager ."
"Bettie Page , the raven-haired pin-up whose naughty-but-nice romps with whips , garters and high heels titillated a generation of young men in the post-war years , has died at the age of 85 after suffering a heart attack earlier this month and slipping into a coma .","Bettie Page , the 1950s pin-up model who helped set the stage for the 1960s sexual revolution , has died ."
"Even as Oscar organizers on Friday unveiled Hugh Jackman as the host of their gala film awards , the prospect of a U.S. actors strike was casting a long shadow over whether Hollywood 's big show would go on as usual .","Hugh Jackman , the Australian actor known to film audiences for playing a furry comic-book hero in the X-Men movies , will be host of the 81st incarnation of the Oscars , the Academy of Motion Picture Arts and Sciences announced on Friday ."
A man with a long history of domestic violence has been accused of stabbing his mother and a former girlfriend to death and leaving their bodies in an apartment for several days .,35-year-old Gomes faces two counts of murder after his mother and his ex-girlfriend were found stabbed to death inside a New Bedford home yesterday afternoon .
An Atlanta judge sentenced Brian Nichols to life in prison Saturday morning .,A Georgia judge handed Brian Nichols today four consecutive life sentences without the possibility for parole sentence today .
"A series of powerful earthquakes rocked Manokwari , the capital of West Papua , on Sunday , killing four people , injuring dozens and destroying hundreds of buildings .",A series of earthquakes killed a 10-year-old girl and injured dozens Sunday in remote eastern Indonesia and briefly triggered fears of another tsunami in a country still recovering from such a disaster in 2004 .
"The Thick of It actor will play the 12th Doctor , replacing Matt Smith on BBC One's hit sci - fi drama .","Doctor Who has finally selected its 12th doctor : Peter Capaldi is officially set to replace exiting star Matt Smith as the TARDIS leader , producer Steven Moffat announced on the live BBC special Doctor Who Live : The Next Doctor Sunday ."
Hansbrough scored 20 points last night to break the storied program 's career scoring record and help the Tar Heels ( 10-0 ) remain unbeaten with a 91-73 victory over visiting Evansville ( 7-2 ) .,He set the record by muscling in a bank shot over two defenders with 7:41 to go .
The quake occurred at 2 : 09 a . m . about 14 miles north - northeast of Healdsburg and had a depth of 1 . 2 miles .,The temblor struck about 26 miles north of Santa Rosa in the Geysers area .
"Chipmaker AMD , hoping to gain a leg up on a resurgent rival Intel ( INTC ) , on July 24 ended months of speculation by saying it would buy graphics chipmaker ATI for about $ 5.4 billion .","Advanced Micro Devices ( NYSE : AMD ) announced the largest acquisition in its history Monday , paying about $ 5.4 billion to acquire graphics chip specialist ATI Technologies ."
"Luck threw for 205 yards on Sunday , breaking Cam Newton's single - season mark for yards by a first - year quarterback .","Andrew Luck threw for 205 yards to break the single - season rookie record , and his touchdown pass to Reggie Wayne late in the fourth quarter Sunday gave the Indianapolis Colts a 20 - 13 win over the Kansas City Chiefs and a berth in the playoffs ."
? Apple is certainly making WWDC a hardware conference this year - - it just unveiled a new MacBook Pro running Intel's newer Ivy Bridge processors on the San Francisco gathering's opening day . ?,Apple has unveiled its new flagship laptop : The Next Generation Macbook Pro .
A smash - and - grab on a high end Paris store saw four robbers make off with jewelry and watches valued at over $2 . 6 million early Monday .,"After scooping up jewelry and watches estimated to be worth 2 million euros ( $2 . 6 million ) the thieves reversed their car out of the store and set fire to it before making off in another vehicle , Le Monde reported ."
Advanced Micro Devices will acquire server vendor SeaMicro in an attempt to make a run at Intel in the microserver market .,AMD to Acquire SeaMicro : Accelerates Disruptive Server Strategy
"The 55 - year older leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints was charged with sexual assault of a child after taking a 12 - year old girl and a 15 - year girl as ""spiritual wives . ""","A Texas jury convicted polygamist sect leader Warren Jeffs of child sexual assault Thursday in a case stemming from two young followers he took as brides in what his church calls ""spiritual marriages . """
T-Mobile USA has just confirmed the numerous rumors that it will introduce the latest model in the BlackBerry Curve series next month .,Rumors have been floating for weeks now and we knew the 8900 would be coming sometime in early '09 and tonight T-Mobile has made it official .
Rumors have been floating for weeks now and we knew the 8900 would be coming sometime in early '09 and tonight T-Mobile has made it official .,T-Mobile has announced it will be carrying the BlackBerry Curve 8900 smartphone this February ... although it will not offer 3G data service .
"An arsonist has badly damaged the church attended by the Governor of Alaska , Sarah Palin , and she has apologised if the fire was connected to `` undeserved negative attention '' from her failed campaign as the Republican vice-presidential nominee .",Sarah Palin actually apologized after the evangelical church she attends was nearly destroyed by arsonists -- all because she still harbors guilt over her failed VP run .
T - Mobile announced today that the BlackBerry Q10 smartphone device will be added to its growing 4G LTE smartphone portfolio .,T - Mobile Confirms QWERTY - Based BlackBerry Q10 Availability
Waitrose Wellington fire : Man denies arson,A man has denied arson following a fire at a Somerset supermarket early on Sunday .
Chargers ' Jackson arrested on suspicion of DUI,"But after being arrested for suspicion DUI earlier this week , he has bigger worries than his role in the Chargers ' offense ."
It seems that another incident of an undersea telecommunications cable being severed on Tuesday has resulted in partially blocking internet and mobile services in Alexandria and some other governorates .,"Reports on Tuesday morning indicated that a fiber optic cable in the northern part of Egypt had been damaged , resulting in the loss of all telecommunications in Egypt's second largest city of Alexandria and parts of the Nile Delta region ."
"Miles Vinar spoke to ONE News about seeing his brother plunge to his death on Thursday , and about his own desperate battle to stay alive on the mountain .",A Perth man has survived after spending up to two nights in an ice cave on New Zealand 's Mt Cook after seeing his brother fall to his death from the country 's highest peak .
"On Friday , the organization behind the Academy Awards named Australian actor Hugh Jackman as the host of February 's annual show .","Okay , so it 's a bit of a stretch there , but regardless , today it was announced that one of our own , Hugh Jackman , will be the host of the ceremony , televised live on Sunday , February 22 , 2009 , from the Kodak Theatre at Hollywood and Highland Center on ABC ."
"In a surprising move nearly three weeks following the end of their season , the Sixers fired Jim O'Brien on Monday after one season as coach and replaced him with Cheeks , one of the most popular players in franchise history .",Up the coast . . . the Philly Sixers canned Jim O'Brien [ who had been under fire all season ] and quickly hired Mo Cheeks .
"Billy King spun the 76ers' head coach revolving door again yesterday , pushing out Jim O'Brien after just one season and bringing in Maurice Cheeks , the popular former Sixers player and assistant coach , as O'Brien's replacement .",Sixers' Coach Jim O'Brien was fired today and taking over will be former Portland Trailblazers Coach . . .
"Prosecutors Tuesday put on the most shocking evidence yet in the trial of Warren Jeffs , who is charged with sexually assaulting underage girls .",Prosecutors also played an audio recording of Jeffs allegedly engaging in sexual intercourse with the 12 - year - old .
Millom double murder : Man charged with killing mother and sister,"A PROVISIONAL trial date has been set in the case of a son accused of killing his mother , sister and pet dog in Millom ."
"In a sad and surprising reversal of gender roles , a disgruntled woman opened fire at a Kraft factory in Philadelphia last night , killing two workers and wounding two others .","Yvonne Hiller , a suspended Kraft Foods employee at the company's Philadelphia factory , returned Thursday evening , gunned down two women and leaving a man wounded with shots to the neck and shoulder ."
"Fulton Courthouse killer Brian Nichols was sentenced Saturday morning to seven life sentences and four sentences of life without parole plus 485 years for the crimes he committed on March 11 , 2005 , that stunned metro Atlanta and the nation .",A judge on Saturday sentenced the man who killed four people in a brazen courthouse escape to multiple life sentences with no chance of parole after a deadlocked jury failed to return a death sentence .
Chargers receiver arrested for DUI,San Diego Chargers wide receiver Vincent Jackson was arrested Tuesday on suspicion of drunk driving .
"On Saturday , the 26-year-old was handed the keys to the Tardis when he was unveiled as the 11th Doctor Who , replacing David Tennant , who steps down later this year .",26-year-old Matt Smith has been cast as the next incarnation of the Doctor .
10News in San Diego is reporting that Jackson was arrested by the California Highway Patrol early Tuesday morning after failing sobriety tests .,"San Diego Chargers receiver Vincent Jackson was arrested on suspicion of drunk driving on Tuesday morning , five days before a key NFL playoff game ."
"Following a refresh to the MacBook Air lineup , Apple's Phil Schiller unveiled a revamped MacBook Pro today at WWDC12 .",? Apple is certainly making WWDC a hardware conference this year - - it just unveiled a new MacBook Pro running Intel's newer Ivy Bridge processors on the San Francisco gathering's opening day . ?
"AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be paid in cash .","Advanced Micro Devices is acquiring Sea Micro today for $334 million , including $281 million in cash ."
Man charged with arson over Waitrose fire in Wellington,A man has been charged on suspicion of arson following a fire that devastated a Somerset supermarket .
"Following a refresh to the MacBook Air lineup , Apple's Phil Schiller unveiled a revamped MacBook Pro today at WWDC12 .",Apple has unveiled its new flagship laptop : The Next Generation Macbook Pro .
"Advanced Micro Devices announced Wednesday it is buying low - power server vendor SeaMicro , a surprise move that puts AMD in the systems business and disrupts Intel by acquiring one of its close partners .","Advanced Micro Devices on Wednesday announced a deal to acquire startup SeaMicro , a maker of microservers and data center fabric technology , for $334 million ."
"On Saturday , the 26-year-old was handed the keys to the Tardis when he was unveiled as the 11th Doctor Who , replacing David Tennant , who steps down later this year .","When Matt Smith stepped into Doctor Who 's title role as the 11th Doctor this weekend , he went from British character actor to potential entertainment legend ."
"Luck throws for 205 yards , 4th - quarter TD as Colts beat Chiefs 20 - 13 to clinch playoff spot","Andrew Luck threw for 205 yards to break the single - season rookie record , and his touchdown pass to Reggie Wayne late in the fourth quarter Sunday gave the Indianapolis Colts a 20 - 13 win over the Kansas City Chiefs and a berth in the playoffs ."
Jeffs is charged with two counts of sexual assault for raping two under - aged girls and fathering a child with one of the girls .,"The 55 - year older leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints was charged with sexual assault of a child after taking a 12 - year old girl and a 15 - year girl as ""spiritual wives . """
Jeffs is charged with two counts of sexual assault for raping two under - aged girls and fathering a child with one of the girls .,"Texas authorities have charged the ecclesiastical head of the Fundamentalist Church of Jesus Christ of Latter Day Saints with felony bigamy , aggravated sexual assault and assault ."
On Saturday it was announced that the actor to play the eleventh Doctor was none other than Matt Smith .,"On Saturday , the 26-year-old was handed the keys to the Tardis when he was unveiled as the 11th Doctor Who , replacing David Tennant , who steps down later this year ."
Peyton Manning passed for 364 yards and three touchdowns and Keiwan Ratliff returned an interception 35-yards for a pick-six with just under five minutes left to carry the Indianapolis Colts over the Jacksonville Jaguars 31-24 Thursday night .,Peyton Manning helped inspire the Indianapolis Colts to their eighth straight win of the season as they overcame Jacksonville 31-24 on Thursday to reach the play-offs .
"Tara Reid has entered a rehab program , the American Pie star 's rep confirmed to People and Us Weekly on Friday .","Talking to People magazine , Jack Ketsoyan , Tara Reid 's representative confirms the Perennial Party Girl , has herself checked into Promises Treatment Centre ."
"The Academy of Motion Pictures Arts and Sciences announced this morning that Ellen DeGeneres would return to the Academy Awards as emcee , marking her second hosting stint .","Ellen DeGeneres will host the Oscars for a second time next year , the Academy announced Friday ."
? Apple is certainly making WWDC a hardware conference this year - - it just unveiled a new MacBook Pro running Intel's newer Ivy Bridge processors on the San Francisco gathering's opening day . ?,Apple's new MacBook Pros come with Ivy Bridge processors and the Nvidia GeForce GT650M graphics card .
The Staunton Police Department announced Friday they have made an arrest in a 41-year-old double murder case .,Staunton Police Chief Jim Williams announced 61-year-old Sharron Diane Crawford Smith was arrested around 10:24 a.m. Friday and charged with two counts of first degree murder .
"The Academy of Motion Pictures Arts and Sciences announced this morning that Ellen DeGeneres would return to the Academy Awards as emcee , marking her second hosting stint .","Television icon Ellen DeGeneres will return to host the Oscars® for a second time , producers Craig Zadan and Neil Meron announced today ."
"Unlike on Nov. 12 , when sobs filled the air as Peterson was found guilty of murdering his wife and their unborn child , there was an almost surreal stillness in the courtroom while the death recommendation was announced .",Peterson was convicted Nov. 12 of first-degree murder for the death of Laci Peterson and second-degree murder for the death of their unborn son just before Christmas 2002 .
"Just six weeks before President-elect Barack Obama takes office , the Bush administration issued revised endangered species regulations Thursday to reduce the input of federal scientists and to block the law from being used to fight global warming",The Bush administration on Thursday eliminated 35-year-old regulations in the Endangered Species Act that required an independent scientific review of proposed federal projects to determine whether they imperil protected plants and animals .
Yesterday evening the new tenant of the Tardis was unveiled as Peter Capaldi stepped into Matt Smith's soon to be vacant Doctor Who shoes as the twelfth incarnation of the Time Lord .,"Doctor Who has finally selected its 12th doctor : Peter Capaldi is officially set to replace exiting star Matt Smith as the TARDIS leader , producer Steven Moffat announced on the live BBC special Doctor Who Live : The Next Doctor Sunday ."
"Police intervened after more than 100 people joined together for a candlelit vigil in the East Flatbush neighborhood in Brooklyn , New York , where 16 - year - old Kimani Gray was shot multiple times by police on Saturday .",Two plainclothes NYPD officers shot and killed a 16 - year - old Brooklyn resident after police say he pointed a gun at officers on Saturday
"Today , President Barack Obama announced his intent to nominate Regina M . Benjamin as Surgeon General , Department of Health and Human Services .",President Barack Obama has announced that he is nominating a rural Alabama Catholic doctor to be the U . S . Surgeon General .
"A church was devastated by fire , which was attended by Alaska Gov. Sarah Palin on Friday night in her hometown of Wasilla .","An arsonist has badly damaged the church attended by the Governor of Alaska , Sarah Palin , and she has apologised if the fire was connected to `` undeserved negative attention '' from her failed campaign as the Republican vice-presidential nominee ."
Seacom announced that it has fully restored all its customers on alternative routes,"Subsea cable operator , Seacom , announced on Twitter today ( 20 October 2011 ) that they have restored services to all customers using alternate routes , following an outage that was initially expected to take 12 days to repair ."
RBC Capital Markets downgraded ATI Technologies to `` sector perform '' from `` outperform '' after Advanced Micro Devices announced its intention to buy the Canadian graphics chip-maker for $ 5.4 billion on Monday .,"The pitched battle for supremacy in the chip-making market reached a critical phase yesterday with Advanced Micro Devices ( AMD ) in Sunnyvale , Calif . announcing its decision to acquire Canadian graphic cards manufacturer ATI Technologies ( ATI ) ."
A fire - bomb attack on a bank in Greece killed at least three people Wednesday as police fought pitched battles with striking protestors furious at brutal budget cuts designed to avert national bankruptcy .,"Three people , one of them a pregnant woman , were killed when Greeks protesting against government austerity measures threw petrol bombs at a bank in Athens on Wednesday ."
The Bush administration issued two late-term regulations on Thursday that environmentalists say weaken federal protection for endangered species but that Interior Department officials defended as blocking a `` back-door '' attempt to regulate emissions that contribute to global warming .,"Just six weeks before President-elect Barack Obama takes office , the Bush administration issued revised endangered species regulations Thursday to reduce the input of federal scientists and to block the law from being used to fight global warming"
"The Interior Department yesterday finalized rules changing the way it administers the Endangered Species Act , enabling other government agencies to decide on their own whether a project would harm an imperiled species without an independent scientific review .",The Bush administration on Thursday eliminated 35-year-old regulations in the Endangered Species Act that required an independent scientific review of proposed federal projects to determine whether they imperil protected plants and animals .
